# 네이버 부동산 단지 링크
# 형식: 단지ID | 단지명 | 네이버부동산URL
# URL: https://land.naver.com/complex/complexMain.naver?hscpNo=XXXXX

# ── 명지오션시티 ─────────────────────────────────────────────────────────────
jisa_samjung           | 지사삼정그린코아             |  https://new.land.naver.com/complexes/109546?ms=2z8Ikt,3AxM6r,17&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true

# ── 에코델타시티 ─────────────────────────────────────────────────────────────
ecodelta_hoban          | 호반써밋                 |  https://new.land.naver.com/complexes/145041?ms=2z8c2t,3AAMk2,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_sujain         | 수자인                   |  https://new.land.naver.com/complexes/144763?ms=2z8c2t,3AAMk2,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_prugio_lin     | 푸르지오린               |  https://new.land.naver.com/complexes/159657?ms=2z8h77,3AAMk2,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_xi             | 강서자이                 |  https://new.land.naver.com/complexes/150328?ms=2z8iHG,3AAMk2,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_elife          | 이편한세상센터포인트      |  https://new.land.naver.com/complexes/150280?ms=2z8oBG,3AAMk2,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_prugio_center  | 푸르지오센터파크         |  https://new.land.naver.com/complexes/153642?ms=2z8uSI,3AAMk2,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_theberhill     | 더베르힐                 |  https://new.land.naver.com/complexes/157345?ms=2z8CVu,3AAY4y,17&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_jungheung      | 중흥S클래스              |  https://new.land.naver.com/complexes/194197?ms=2z8Kme,3AAKcw,17&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_dietr_grand    | 디에트르그랑루체         |  https://new.land.naver.com/complexes/174037?ms=2z8X6r,3AASd9,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
